Text,Post URL,Time
"Crash- partially blocking 850 N 2450 E, St George - Use caution ⚠️",https://facebook.com/305407624063112/posts/997892434814624,2023-09-30 12:32:03
"Update- Fire is out

Vehicle Fire 🔥-2480 E Red Cliffs Dr, At George - Donation area of DI - Active 🔥 flames. Dodge Truck- Avoid the area if possible",https://facebook.com/305407624063112/posts/997826128154588,2023-09-30 09:11:51
"Update- Unable to locate a fire

Possible Fire 🔥 by Hope & Main, St George- Smoke reported in the area. No burn permits issued",https://facebook.com/305407624063112/posts/997813131489221,2023-09-30 08:40:50
"STGEORGEUTAH.COM
Federal labor department fines 2 St. George Chick-fil-A franchises for child labor violations",https://facebook.com/305407624063112/posts/997808608156340,2023-09-30 08:31:15
"""Tracks indicate the vehicle came to a stop, backed out and then headed south on what appeared to be the vehicle rims.""",https://facebook.com/305407624063112/posts/997446791525855,2023-09-29 14:25:03
"Update- Fire is at the AC unit/furnace -Fire is out working on ventilation.

Structure Fire- 2321 W Ridgeview, Hurricane - Avoid the area if possible",https://facebook.com/305407624063112/posts/997561324847735,2023-09-29 20:19:49
,https://facebook.com/305407624063112/posts/997548284849039,2023-09-29 19:51:26
Shout out to St. George (Utah) Police Department for handling the wild traffic mess earlier!,https://facebook.com/305407624063112/posts/997515074852360,2023-09-29 18:23:55
"Update- Gas has shut off and gas company is responding- Cleared

Strong smell of gas- All occupants have exited the condo

Gas Leak- 550 West Diagonal, St George- Avoid the area if possible",https://facebook.com/305407624063112/posts/997530058184195,2023-09-29 19:07:32
"Exciting news: It’s road-building time on 3000 East, between 1580 South and 2000 South! 👍

The tedious work of laying and connecting over 14.6 miles of pipes and conduit is nearing completion. Dump trucks 🚜 will start delivering road base soon. The contractor will use graders and compaction equipment to place and prepare the material to begin the process of creating two new lanes on 3000 East from 1580 South to 2000 South.

Crews will be working from 2000 South and moving northward to allow the intersection of 2000 South to be fully functional as soon as possible.

When finished, 3000 East from 1580 South to 2000 South will have two lanes in each direction with a center turn lane. A new Active Transportation Trail will run along the east side separated from 3000 East with landscaping and an area for drainage.

Thank you for your patience — we know this has been a challenge for all involved!

For questions specific to this project, reach out to Lisa Beck, Public Information Contact 435-531-1358 (call or text).",https://facebook.com/305407624063112/posts/997523588184842,2023-09-29 18:47:57
