Text,Post URL,Time,Number
"Updates- 7:03 pm I-15 SB is open. Self inflicted as of right now, no officers have fired

7:01 pm SUSPECT is down- fatal shot. Great job to all involved !

- 7:00 pm Suspect is not moving

6:58 pm Suspect has been shot- but alive
- 6:57 pm Shot Fired

6:53 on foot. Barefoot, Black T-shirt Black Pants. And ARMED - On the golf course

- 6:51 pm Still on the Golf Course green

6:45 pm Driving on the Golf Course in Mesquite

Star 9 is following as well

6:43 pm Carjacked a White Chevy Blazer- California plates

6:42 Suspect is pulling into Casa Blanca Avoid the area

- 6:40 pm Spiked at MP 121- Good spike approaching MP 120 - Speed reduced

- 6:38 MP 122 NV Spiked Missed

6:36 pm MST MP 3 AZ

6:33 pm Mst just past MP 8 AZ

6:29 pm MST exiting gorge at high rate of speed

DPS Star 9 en route, Nevada will assist

- ****SB I-15 from MP 2 in Utah is CLOSED

Evading Armed Robbery Suspect - West Nelson Circle, St George- Male subject took off- Officers are chasing him SB 15 from Mp 2 into AZ

Multiple agencies are involved",https://facebook.com/305407624063112/posts/997969554806912,2023-09-30 17:19:54,1
"Updates- 7:03 pm I-15 SB is open. Self inflicted as of right now, no officers have fired

7:01 pm SUSPECT is down- fatal shot. Great job to all involved !

- 7:00 pm Suspect is not moving

6:58 pm Suspect has been shot- but alive
- 6:57 pm Shot Fired

6:53 on foot. Barefoot, Black T-shirt Black Pants. And ARMED - On the golf course

- 6:51 pm Still on the Golf Course green

6:45 pm Driving on the Golf Course in Mesquite

Star 9 is following as well

6:43 pm Carjacked a White Chevy Blazer- California plates

6:42 Suspect is pulling into Casa Blanca Avoid the area

- 6:40 pm Spiked at MP 121- Good spike approaching MP 120 - Speed reduced

- 6:38 MP 122 NV Spiked Missed

6:36 pm MST MP 3 AZ

6:33 pm Mst just past MP 8 AZ

6:29 pm MST exiting gorge at high rate of speed

DPS Star 9 en route, Nevada will assist

- ****SB I-15 from MP 2 in Utah is CLOSED

Evading Armed Robbery Suspect - West Nelson Circle, St George- Male subject took off- Officers are chasing him SB 15 from Mp 2 into AZ

Multiple agencies are involved",https://facebook.com/305407624063112/posts/997969554806912,2023-09-30 17:19:54,2
"The chase that started in st george

Jennifer Sapien‎What's Happening, Mesquite
1 hr ·

Casablanca golf course.",https://facebook.com/305407624063112/posts/997995328137668,2023-09-30 18:46:56,3
"Mesquite-

🚨 Please avoid area SW of W Hafen Ln. for police activity. Incident is under control but investigation is still active. There is no threat to public at this time. 🚨

Mesquite NV Police
30 mins ·

🚨 Please avoid area SW of W Hafen Ln. for police activity. Incident is under control but investigation is still active. There is no threat to public at this time. 🚨",https://facebook.com/305407624063112/posts/998002731470261,2023-09-30 19:08:02,4
"STGEORGEUTAH.COM
Man suspected of aggravated assault stopped in dump truck by Washington City officers",https://facebook.com/305407624063112/posts/998002051470329,2023-09-30 19:05:47,5
"Update- Cleared

Medical Emergency- Approx I-15 SB MP 18- Use caution ⚠️",https://facebook.com/305407624063112/posts/997990818138119,2023-09-30 18:31:37,6
What’s up in the gorge? They’ve got the freeway shut down.,https://facebook.com/305407624063112/posts/997984598138741,2023-09-30 18:11:09,7
"Crash- No injuries- Partially blocking- 2450 S Little Valley Rd, St George - Use caution ⚠️",https://facebook.com/305407624063112/posts/997943498142851,2023-09-30 15:36:37,8
"Update- Truck bed Fully engulfed

Vehicle Fire 🔥 20 North Red Trail Lane, Washington- by building H- Silver Truck fire in the bed, Spreading fast, Vehicles next to it and close to the building- Avoid the area if possible",https://facebook.com/305407624063112/posts/997932071477327,2023-09-30 14:53:39,9
"Crash- partially blocking 850 N 2450 E, St George - Use caution ⚠️",https://facebook.com/305407624063112/posts/997892434814624,2023-09-30 12:32:03,10
"Update- Fire is out

Vehicle Fire 🔥-2480 E Red Cliffs Dr, At George - Donation area of DI - Active 🔥 flames. Dodge Truck- Avoid the area if possible",https://facebook.com/305407624063112/posts/997826128154588,2023-09-30 09:11:51,11
"Update- Unable to locate a fire

Possible Fire 🔥 by Hope & Main, St George- Smoke reported in the area. No burn permits issued",https://facebook.com/305407624063112/posts/997813131489221,2023-09-30 08:40:50,12
"STGEORGEUTAH.COM
Federal labor department fines 2 St. George Chick-fil-A franchises for child labor violations",https://facebook.com/305407624063112/posts/997808608156340,2023-09-30 08:31:15,13
"Update- Fire is at the AC unit/furnace -Fire is out working on ventilation.

Structure Fire- 2321 W Ridgeview, Hurricane - Avoid the area if possible",https://facebook.com/305407624063112/posts/997561324847735,2023-09-29 20:19:49,14
,https://facebook.com/305407624063112/posts/997548284849039,2023-09-29 19:51:26,15
"7:21 pm update - All rafters safe and accounted for!! They were late, but got out at upper Klamath.

Sheriff's deputies and soon CHP helicopter H-16 searching for rafters reported missing after not getting off the Klamath river at the expected place. From what I can gather, they started in Oregon. Have been unable to locate so far along Copco Rd. Rafters are with a guide, have life jackets and wetsuits on. I believe there are 10 people.",https://facebook.com/660519427666787/posts/2013928302325886,2023-09-30 18:46:17,16
Happy Camp. Medical. Klamath RV Park. Nugget Street. Assault Patient. Scene is Secure.,https://facebook.com/660519427666787/posts/2013800059005377,2023-09-30 13:42:19,17
"Please join us for the third annual Shasta Halloween’s Boo Cruise Oct 21st & 28th 2023. Virtual map will be posted the week of the event.

SAT, OCT 21 - OCT 28
Shasta Halloween’s 2023 Boo Cruise",https://facebook.com/768120791123543/posts/1021142909154662,2023-09-30 19:11:37,18
"According to Lucky Miller's Deli and Market some POS broke a window out of Redding V.F.W. Post 1934 in Cypress Square and stole their donation buckets with donations in them. Normally, I would of just shared his post but he seemed quite heated about it when he wrote it.
This is a most despictable act to a community group that helps our veterans.
If you happen to know who he was I know some veterans that would love to go talk with him.
If you would like to help them with the window repair bill and/or replacing the stolen donation click the safe link to their website and directly donate to them. Thank you



VFWPOST1934.COM
www.vfwpost1934.com",https://facebook.com/768120791123543/posts/1021138665821753,2023-09-30 18:58:47,19
"🤑🤑Flash sale 🥳👏this morning on a limited number of tickets!!! Use the code: “Discount50” to get HALF price general admission to the concert🎸! Better hurry before the discounted tickets are all gone!!!! Don’t forget kids 12 and under are FREE!! Come on out and have a great time with us and stand behind something that MATTERS at the same time!!! Please, we NEED you!!!! Elizabeth & Charlotte Strong Stephanie Dustin Redding Buzz Q97.3 KRCR News Channel 7 Cole Hartley Cole Hartley Benefit Concert Hawes Farms Redding Night Life Redding Chamber of Commerce Redding Live Music & events Redding Area Live Music Scene Redding, California Shasta County Moms and Tots

OWNMG.ORG
MG Concert Event | Ownmg

Own MG
Paid Partnership ·

🤑🤑Flash sale 🥳👏this morning on a limited number of tickets!!! Use the code: “Discount50” to get HALF price general admission to the concert🎸! Better hurry before the discounted tickets are all gone!!!! Don’t forget kids 12 and under are FREE!! Come on out and have a great time with us and stand behind something that MATTERS at the same time!!! Please, we NEED you!!!! Elizabeth & Charlotte Strong Stephanie Dustin Redding Buzz Q97.3 KRCR News Channel 7 Cole Hartley Cole Hartley Benefit Concert Hawes Farms Redding Night Life Redding Chamber of Commerce Redding Live Music & events Redding Area Live Music Scene Redding, California Shasta County Moms and Tots",https://facebook.com/768120791123543/posts/1021098989159054,2023-09-30 16:33:30,20
"Shasta County resident, Keith Jackson, is a proud father, husband and student. Once a repeat offender, Keith shares how he overcame addiction and homelessness and how the stigma surrounding both got in the way of him seeking help.

Read Keith's full story here:
https://standagainststigma.com/brave-faces-keith-jackson/

Read more Brave Faces stories of hope and healing here:
https://standagainststigma.com/gallery/

Interested in bringing Keith or another Brave Faces Advocate to speak to your business, organization or school? Contact Christopher Diamond at cdiamond@co.shasta.ca.us or call (530) 229-8484. Learn more about Brave Faces presentations here:
https://standagainststigma.com/schedule-a-brave-faces-presentation/

The Brave Faces Gallery and Speakers Bureau is sponsored by the Shasta County Health and Human Services Agency in conjunction with the Stand Against Stigma Committee and our many community partners and advisory boards. Funding for Stand Against Stigma is provided through the Mental Health Services Act.

STANDAGAINSTSTIGMA.COM
Brave Faces – Stand Against Stigma",https://facebook.com/768120791123543/posts/1021086959160257,2023-09-30 15:42:43,21
"Seen by jack in box red bluff police were sent don’t think they found him
09/30 2:30 pm

Jackie Tibbett
Today at 2:01 AM ·

PLEASE LAST SEEN IN RED BLUFF TODAY WALKING DOWN MAIN STREET…. JACKSON TIBBETT 14 YEARS OLD AND DESTINY DUNGAN 15 YEARS OLD BOTH RUNAWAYS FROM REDDING
PLEASE CALL ME 5302294885 or CALL POLICE IMMEDIATELY",https://facebook.com/768120791123543/posts/1020911449177808,2023-09-30 06:55:09,22
"Please help share the floofs !



Friends of Shasta Lake Animal Shelter-Shasta Lake, Ca
9 hrs ·

We need your help!! We are full of kittens!!

We have tabbies!!

We have tuxedos!!

We have tortoise shells!!

We have calicos!!

We have a grey and white kitty!!

We have black kitties!!

We need to make room for the next set of kittens that come in Monday!!!

Here is the Petfinder link to the kittens available for adoption

https://www.petfinder.com/member/us/ca/shasta-lake/city-of-shasta-lake-animal-control-ca940/?mibextid=Zxz2cZ

🐾🐾PLEASE SHARE🐾🐾

City of Shasta Lake Animal Shelter
3025 Ashby Rd
Shasta Lake, Ca
(530)275-7480
Mon-Fri 11-2
Weekends 10-2 ***BY APPT ONLY***",https://facebook.com/768120791123543/posts/1021048422497444,2023-09-30 13:23:46,23
"Monthly vaccine clinic this Thursday 10/05 4-6pm at the Benton Dog Park in Redding. No rabies. FVRCP vaccines for cats and DHPP vaccines for dogs. Please bring your previous vaccine sheet to be updated, if you have been before. Microchipping $15, deworming $5. Vaccines free/donation based. We will be there October and November, breaking from December to March. Don’t wait!

Noah’s Ark Animal Haven and Rescue
9 hrs · Instagram ·

Thanks to the @petcolove foundation, our rescue is holding our monthly free/donation based vaccine clinic outside of the Benton Dog Park in Redding, CA 96051 on Thursday 10/05/2023 from 4pm-6pm. This is a donation based vaccine clinic. We are also microchipping for $15 and deworming for $5. Feel free to text 5108463624 to register your animal or ask questions! Registration is not required. We will be providing DAPPv vaccines for dogs and FVRCP vaccines for cats. These vaccines protect against the main viruses that attack dogs and cats! We will not have Rabies at this clinic. No cards accepted, we take cash or check to the rescue for added services. Please make sure dogs are on a leash and cats are in carriers! All welcome but breeders.

#vaccineclinic #freevaccines #vaccinate #microchip #animalrescue #VaccinatedandLoved #petcolove #grant #donate #nonprofit #501c3 #animalrescue #farmsanctuary #volunteerbased #redding #shastacountyg",https://facebook.com/768120791123543/posts/1020987932503493,2023-09-30 10:17:26,24
"Stop and arrest #bolo

Jerry White
The associated vehicle is a 94 white Chevy pick up.
He was involved in a domestic violence incident in Fall River today.
9:50 a.m.
9/30/23",https://facebook.com/768120791123543/posts/1020980022504284,2023-09-30 09:53:51,25
,https://facebook.com/768120791123543/posts/1020957482506538,2023-09-30 08:52:45,26
"PLEASE LAST SEEN IN RED BLUFF TODAY WALKING DOWN MAIN STREET…. JACKSON TIBBETT 14 YEARS OLD AND DESTINY DUNGAN 15 YEARS OLD BOTH RUNAWAYS FROM REDDING
PLEASE CALL ME 5302294885 or CALL POLICE IMMEDIATELY",https://facebook.com/768120791123543/posts/1020943602507926,2023-09-30 08:16:31,27
"Good morning! More is coming!🤩

Mike Krueger - Weather NorCal
12 hrs ·

It's not as active as it was last night and early this morning but don't let that fool you. We will see more showers and thunderstorms develop this morning and afternoon. Watch my morning update to find out what's in store for us today and the rest of the weekend.
https://weathernorcal.com/weather-maps-2/",https://facebook.com/768120791123543/posts/1020942865841333,2023-09-30 08:14:33,28
,https://facebook.com/768120791123543/posts/1020897849179168,2023-09-30 06:24:08,29
,https://facebook.com/768120791123543/posts/1020734769195476,2023-09-29 22:21:14,30
"There is no where like home.
Keep the creeps at bay. Do your 9 pm routine.
Thankful to Shasta Halloween for putting together the Boo cruise and all they do to share Halloween fun to our community.
Have a lit up night and a howling weekend :)

Mike Rubin
Yesterday at 10:16 PM ·

Oaks and Lassen Park in moonlight at the Thatcher Ranch in Shingletown.",https://facebook.com/768120791123543/posts/1020681572534129,2023-09-29 19:41:59,31
Looks like it's near sunset Station area. Anyone know what is on fire?,https://facebook.com/539836509530743/posts/2548657761981931,2023-09-30 10:58:06,32
Tropicana & Jones,https://facebook.com/539836509530743/posts/2548604488653925,2023-09-30 09:02:53,33
,https://facebook.com/539836509530743/posts/2548351828679191,2023-09-29 23:34:51,34
car accident on Jones and tropicana. streets blocked off,https://facebook.com/539836509530743/posts/2548548565326184,2023-09-30 07:16:14,35
What’s on fire on the east side. Around Galleria Mall near Sunset.,https://facebook.com/539836509530743/posts/2548667715314269,2023-09-30 11:24:44,36
Really big fire East of the strip...anyone know anything?,https://facebook.com/539836509530743/posts/2548658271981880,2023-09-30 10:59:31,37
7-Eleven on Flamingo and Sandhill out of gas,https://facebook.com/539836509530743/posts/2548314185349622,2023-09-29 21:50:19,38
If anyone see this truck plz call 702-741-8696 stolen plz keep a look out,https://facebook.com/539836509530743/posts/2548265182021189,2023-09-29 19:38:14,39
"JOB'S NOT FINISHED.

First back-to-back finals appearance in franchise history!",https://facebook.com/539836509530743/posts/2548313188683055,2023-09-29 21:47:15,40
What’s happening at the Oakdale Airport?,https://facebook.com/660953494027689/posts/6394511380671843,2023-09-30 10:43:57,41
Found air tag in Oakdale by Taco Bell it is still linked to someone’s cell phone. But it was not on or attached to anything. If it might be someone’s please message me.,https://facebook.com/660953494027689/posts/6395053677284280,2023-09-30 14:14:37,42
Someone stole my front license plate last night. Not sure if it was a kid prank or if someone plans to commit further crimes with it. California plate number 88030M2. OPD has been notified.,https://facebook.com/660953494027689/posts/6394972100625771,2023-09-30 13:38:35,43
Power outage @ Golf Links 10:40 am …..anyone else? No notice of why!!!,https://facebook.com/544879115576157/posts/6751299491600724,2023-09-30 12:11:16,44
Anyone know what's up with the fireworks. I'm in ponderosa hills and I can here it.,https://facebook.com/544879115576157/posts/6748905445173462,2023-09-29 21:06:59,45
"Be careful when driving, watch out for slippery roads",https://facebook.com/1310115422351233/posts/7287075581321824,2023-09-30 15:13:51,46
3 dogs loose on wildcat canyon before the police station. 2 aussies and 1 cattle dog. They are wandering into the road and not scared of cars so beware when driving and hopefully the owner can come get them soon!,https://facebook.com/1896100413812241/posts/6828374190584814,2023-09-30 11:57:06,47
Traffic delay Hwy67 leaving Ramona 9:00am,https://facebook.com/1896100413812241/posts/6827916477297252,2023-09-30 09:05:47,48
